ts,Source Port,Destination Port,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1723818585.309967,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,172381858.5309987,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3100312,2220.5,2220.4,0.0,156.8,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,517145575.5930165,517145575.5930165,517145575.5930165,517145575.5930165,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22480.2,938.8,1514.0,1461.1308152734778,162.78926143187573,1230.8,172381858.53101477,13.5,546328.0,54.02905801706783,231.59989755019924,68055.16220929303,0.4,244.6,0.0,0.0,0.0,0.0,344763717.0620097,0.0
1723818585.3100955,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.310067,1723818585.310067,1723818585.310067,1723818585.310067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,5.817413330078125e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3101673,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.310067,1723818585.310067,1723818585.310067,1723818585.310067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172381858.53102776,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3102207,2220.6,2220.5,1.461505889892578e-05,308.2,6.0,64.0,6842.25774877651,6842.25774877651,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,1723818585.3101432,1723818585.3100846,2413346019.4341702,1723818585.310114,2.9230156691558003e-05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7322.6,784.0,1514.0,1390.7728571428572,269.3647492094254,1230.8,4.315376281738282e-06,5.5,546328.0,52.68394780651355,380.9392815571968,145839.0821564626,0.5,38.5,0.0,0.0,0.0,0.0,172381858.53103912,1.461505889892578e-05
1723818585.310295,0.0,0.0,0.0,0.0,6.0,64.0,13684.51549755302,13684.51549755302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.310245,1723818585.310245,1723818585.310245,1723818585.310245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,20635.0,54.0,1514.0,1324.603938620719,479.3156229029725,1514.0,172381858.5310411,13.5,546328.0,51.451267751599325,679.235770791233,232073.22959909355,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.310348,0.0,0.0,0.0,0.0,6.0,64.0,13684.51549755302,13684.51549755302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.310245,1723818585.310245,1723818585.310245,1723818585.310245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,3.409385681152344e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3104076,8.0,2212.6,1.5687942504882812e-05,156.8,6.0,64.0,13216.579937226355,13216.579937226355,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1723818585.3103232,1723818585.310245,2585727877.965446,1723818585.310284,3.921985626220703e-05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22599.8,784.0,1514.0,1466.3314430684554,178.24100737566033,1230.8,172381858.5310492,13.5,546328.0,54.26815676554365,238.06810370993983,56732.36332098206,0.5,244.6,0.0,0.0,0.0,0.0,1.5687942504882812e-05,1.5687942504882812e-05
1723818585.3104775,2212.7,8.0,0.0,151.4,6.0,64.0,12748.644376899696,12748.644376899696,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1723818585.310454,1723818585.310454,1723818585.310454,1723818585.310454,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,9.107589721679688e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,172381858.53104538,0.0
1723818585.310545,0.0,0.0,0.0,0.0,6.0,64.0,12748.644376899696,12748.644376899696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.310454,1723818585.310454,1723818585.310454,1723818585.310454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172381858.53105968,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
