ts,Source Port,Destination Port,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,Source IP
1724151435.9628923,2460.6,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,344830287.1925928,344830287.1925928,344830287.1925928,344830287.1925928,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8289.8,1476.8,1514.0,1509.8322222222223,11.71785857068931,1501.6,172415143.5962964,5.5,546328.0,54.95134971931776,16.571554512638635,458.4207283950617,0.3,38.5,0.0,0.0,0.0,0.0,172415143.5962964,0.0,10.38.1.110
1724151435.963038,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9629638,1724151435.9629638,1724151435.9629638,1724151435.9629638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23343.0,1390.0,1514.0,1505.7072346006248,30.813709467697656,1514.0,172415143.59632176,13.5,546328.0,54.8757541660832,43.67101862808571,960.5962051346266,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9631722,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9629638,1724151435.9629638,1724151435.9629638,1724151435.9629638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.3208389282226562e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9632845,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9629638,1724151435.9629638,1724151435.9629638,1724151435.9629638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172415143.5963427,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9634202,2460.7,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1724151435.9633186,1724151435.9633186,1724151435.9633186,1724151435.9633186,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8215.4,1402.4,1514.0,1490.0807936507938,43.05293540124853,1501.6,1.468658447265625e-05,5.5,546328.0,54.59001201992536,60.886045144418425,2120.658723859914,0.9,38.5,0.0,0.0,0.0,0.0,172415143.59634072,0.0,10.38.1.110
1724151435.9635365,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.963407,1724151435.963407,1724151435.963407,1724151435.963407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23343.0,1390.0,1514.0,1505.7072346006248,30.813709467697656,1514.0,172415143.5963688,13.5,546328.0,54.8757541660832,43.67101862808571,960.5962051346266,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9636636,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.963407,1724151435.963407,1724151435.963407,1724151435.963407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.4805793762207032e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.963794,2460.8,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1724151435.963581,1724151435.963581,1724151435.963581,1724151435.963581,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23405.0,1452.0,1514.0,1510.5340677674578,14.230969440873778,1501.6,172415143.59639892,13.5,546328.0,54.96361327167581,20.219482780844206,409.23100883065314,0.5,244.6,0.0,0.0,0.0,0.0,172415143.5963842,0.0,10.38.1.110
1724151435.9639282,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.963842,1724151435.963842,1724151435.963842,1724151435.963842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.0895729064941409e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.964074,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.963842,1724151435.963842,1724151435.963842,1724151435.963842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172415143.5964269,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
